Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine,Power,Seats,Car_Age,Engine_to_Power,KM_per_Year,Mileage
2009,145278,Diesel,Manual,Second,2498.0,112.0,8.0,16,22.106194690265486,8545.764705882353,11.68
2015,62083,Diesel,Manual,First,1396.0,88.76,5.0,10,15.552584670231727,5643.909090909091,21.19
2010,61696,Petrol,Manual,First,1799.0,130.0,5.0,15,13.732824427480915,3856.0,13.5
2017,28000,Diesel,Manual,First,1498.0,98.96,5.0,8,14.985994397759104,3111.1111111111113,23.0
2013,50142,Diesel,Automatic,First,2143.0,170.0,5.0,12,12.532163742690058,3857.076923076923,14.84
2014,45000,Petrol,Automatic,First,1798.0,157.75,5.0,11,11.325984251968505,3750.0,13.7
2014,97513,Diesel,Manual,First,1498.0,103.52,5.0,11,14.332185227707617,8126.083333333333,21.14
2011,55000,Petrol,Automatic,Second,1796.0,185.0,5.0,14,9.655913978494624,3666.6666666666665,12.3
2004,82000,Petrol,Manual,Second,796.0,37.0,4.0,21,20.94736842105263,3727.2727272727275,16.1
2013,71501,Diesel,Manual,First,1248.0,74.0,5.0,12,16.64,5500.076923076923,22.9
2017,23000,Diesel,Manual,First,1498.0,98.6,7.0,8,15.040160642570282,2555.5555555555557,21.9
2015,66095,Diesel,Automatic,First,1968.0,174.33,5.0,10,11.224547995209033,6008.636363636364,17.68
2014,49500,Diesel,Manual,First,2982.0,171.0,7.0,11,17.337209302325583,4125.0,11.5
2009,90000,Petrol,Manual,First,2362.0,164.7,5.0,16,14.254677127338566,5294.117647058823,13.4
2017,25384,Petrol,Manual,First,1197.0,81.8,5.0,8,14.456521739130435,2820.4444444444443,20.89
2016,27529,Petrol,Manual,Second,1591.0,121.3,5.0,9,13.008994276369583,2752.9,17.01
2012,69297,Petrol,Manual,First,1497.0,116.3,5.0,13,12.762148337595908,4949.785714285715,16.8
2009,66000,Petrol,Manual,First,1497.0,118.0,5.0,16,12.579831932773109,3882.3529411764707,17.0
2012,20000,Diesel,Manual,First,1461.0,65.0,5.0,13,22.136363636363637,1428.5714285714287,21.03
2015,67000,Diesel,Automatic,First,2987.0,254.8,7.0,10,11.677091477716965,6090.909090909091,11.3
2015,36933,Petrol,Manual,First,814.0,55.2,5.0,10,14.483985765124554,3357.5454545454545,21.1
2007,194000,Diesel,Manual,First,2494.0,100.6,8.0,18,24.54724409448819,10210.526315789473,12.99
2013,42200,Diesel,Manual,First,1248.0,88.76,7.0,12,13.90374331550802,3246.153846153846,20.77
2015,53093,Diesel,Automatic,Second,2967.0,241.4,7.0,10,12.24009900990099,4826.636363636364,12.07
2012,88000,Petrol,Manual,Third,1497.0,118.0,5.0,13,12.579831932773109,6285.714285714285,17.0
2017,42954,Petrol,Manual,First,998.0,67.1,5.0,8,14.654919236417035,4772.666666666667,24.07
2015,106000,Diesel,Manual,First,1396.0,69.0,5.0,10,19.942857142857143,9636.363636363636,25.0
2015,41700,Diesel,Automatic,First,1995.0,190.0,5.0,10,10.44502617801047,3790.909090909091,18.12
2018,34464,Diesel,Automatic,First,2143.0,170.0,5.0,7,12.532163742690058,4308.0,19.27
2010,15000,Petrol,Manual,First,1199.0,76.8,5.0,15,15.411311053984576,937.5,17.8
2010,70000,Petrol,Manual,Second,998.0,67.1,5.0,15,14.654919236417035,4375.0,19.0
2017,119256,Diesel,Manual,First,2179.0,140.0,7.0,8,15.453900709219859,13250.666666666666,16.0
2011,50036,Petrol,Manual,First,1497.0,118.0,5.0,14,12.579831932773109,3335.733333333333,17.0
2013,58000,Diesel,Manual,First,2494.0,100.6,7.0,12,24.54724409448819,4461.538461538462,12.99
2011,75000,Petrol,Manual,First,1197.0,80.0,5.0,14,14.777777777777779,5000.0,18.5
2013,53313,Petrol,Manual,First,998.0,67.1,5.0,12,14.654919236417035,4101.0,20.92
2015,73000,Diesel,Manual,First,2494.0,100.6,8.0,10,24.54724409448819,6636.363636363636,12.99
2013,83989,Diesel,Manual,First,1461.0,63.1,5.0,12,22.792511700468022,6460.692307692308,23.08
2015,86247,Diesel,Manual,First,1582.0,126.2,5.0,10,12.437106918238994,7840.636363636364,19.67
2016,24000,Diesel,Manual,First,2494.0,100.6,8.0,9,24.54724409448819,2400.0,12.99
2010,58000,Diesel,Automatic,First,2143.0,203.0,5.0,15,10.504901960784315,3625.0,14.21
2015,33000,Petrol,Manual,First,1197.0,81.83,5.0,10,14.451285766026801,3000.0,18.6
2005,100000,Petrol,Automatic,First,2354.0,142.0,5.0,20,16.46153846153846,4761.9047619047615,11.1
2017,65896,Diesel,Manual,First,2393.0,147.8,7.0,8,16.081989247311828,7321.777777777777,13.68
2016,120000,Diesel,Manual,First,1396.0,88.73,5.0,9,15.557784464504625,12000.0,22.54
2013,26000,Diesel,Manual,First,1461.0,64.1,5.0,12,22.442396313364057,2000.0,20.8
2012,62300,Petrol,Manual,Second,1196.0,73.0,5.0,13,16.16216216216216,4450.0,15.1
2012,77801,Petrol,Manual,First,1798.0,138.03,5.0,13,12.932460620010069,5557.214285714285,14.28
2015,42000,Petrol,Automatic,First,1798.0,138.03,5.0,10,12.932460620010069,3818.181818181818,14.28
2013,35000,Petrol,Automatic,Second,1595.0,120.7,5.0,12,13.105998356614625,2692.3076923076924,15.5
2016,30134,Diesel,Manual,First,1396.0,88.73,5.0,9,15.557784464504625,3013.4,22.54
2012,79038,Petrol,Manual,First,2354.0,177.6,5.0,13,13.180291153415453,5645.571428571428,12.8
2009,80000,Petrol,Automatic,Second,2354.0,177.6,5.0,16,13.180291153415453,4705.882352941177,11.7
2012,75000,Diesel,Manual,First,2523.0,62.1,7.0,13,39.98415213946117,5357.142857142857,15.96
2010,80000,Diesel,Manual,First,1248.0,73.9,5.0,15,16.66221628838451,5000.0,21.1
2014,84419,Petrol,Automatic,First,1798.0,157.75,5.0,11,11.325984251968505,7034.916666666667,13.7
2013,70200,Petrol,Manual,First,1198.0,86.7,5.0,12,13.660205245153934,5400.0,18.0
2013,98000,Petrol,Manual,Second,1598.0,103.6,5.0,12,15.277246653919695,7538.461538461538,15.04
2016,131503,Diesel,Manual,First,1248.0,73.94,5.0,9,16.653322658126502,13150.3,23.2
2011,54652,Petrol,Manual,First,1497.0,118.0,5.0,14,12.579831932773109,3643.4666666666667,17.0
2010,92000,Petrol,Manual,Second,1595.0,102.0,5.0,15,15.485436893203884,5750.0,14.0
2010,44287,Petrol,Manual,First,1196.0,70.0,5.0,15,16.845070422535212,2767.9375,15.6
2015,205000,Diesel,Manual,First,2494.0,100.6,7.0,10,24.54724409448819,18636.363636363636,12.99
2015,48000,Petrol,Manual,First,1197.0,81.86,5.0,10,14.44605358435916,4363.636363636364,18.6
2016,18000,Diesel,Manual,First,1198.0,77.0,6.0,9,15.35897435897436,1800.0,25.32
2008,31200,Petrol,Automatic,Second,5998.0,616.0,5.0,17,9.721231766612641,1733.3333333333333,10.2
2009,72000,Petrol,Manual,First,1497.0,118.0,5.0,16,12.579831932773109,4235.294117647059,17.0
2009,85000,Petrol,Manual,First,1197.0,80.0,5.0,16,14.777777777777779,5000.0,18.5
2010,27000,Petrol,Manual,First,1497.0,118.0,5.0,15,12.579831932773109,1687.5,17.0
2012,126000,Diesel,Manual,First,2755.0,174.5,7.0,13,15.698005698005698,9000.0,14.24
2017,50000,Diesel,Manual,First,1405.0,48.21,5.0,8,28.55110749847592,5555.555555555556,17.88
2013,58811,Petrol,Manual,Second,1198.0,86.7,5.0,12,13.660205245153934,4523.923076923077,18.0
2013,52196,Diesel,Manual,First,1199.0,73.9,5.0,12,16.008010680907876,4015.076923076923,22.07
2017,45105,Petrol,Manual,First,1198.0,67.04,5.0,8,17.60728982951205,5011.666666666667,19.69
2015,25160,Petrol,Manual,Second,1197.0,82.0,5.0,10,14.421686746987952,2287.2727272727275,18.9
2017,18000,Petrol,Manual,First,1199.0,84.0,5.0,8,14.105882352941176,2000.0,20.3
2007,74000,Petrol,Manual,First,2354.0,144.0,5.0,18,16.23448275862069,3894.7368421052633,11.9
2009,67700,Diesel,Manual,First,2498.0,112.0,7.0,16,22.106194690265486,3982.3529411764707,14.0
2015,61062,Diesel,Automatic,First,2179.0,147.51,5.0,10,14.672412632145985,5551.090909090909,12.39
2016,105000,Diesel,Manual,First,2494.0,100.6,7.0,9,24.54724409448819,10500.0,12.99
2013,155550,Diesel,Manual,First,1396.0,69.01,5.0,12,19.940008570204256,11965.384615384615,25.0
2016,66000,Diesel,Manual,First,1248.0,88.5,5.0,9,13.94413407821229,6600.0,24.3
2012,93884,Petrol,Manual,Second,1497.0,118.0,5.0,13,12.579831932773109,6706.0,17.0
2009,200000,Diesel,Manual,First,1248.0,91.7,5.0,16,13.462783171521036,11764.70588235294,20.4
2016,57200,Petrol,Manual,First,1199.0,84.0,5.0,9,14.105882352941176,5720.0,23.84
2013,93568,Diesel,Manual,First,1199.0,73.9,5.0,12,16.008010680907876,7197.538461538462,22.07
2014,54000,Petrol,Manual,First,998.0,67.04,5.0,11,14.667842445620222,4500.0,20.51
2016,40571,Diesel,Automatic,First,1582.0,126.2,5.0,9,12.437106918238994,4057.1,17.01
2015,59000,Diesel,Automatic,First,1968.0,187.74,5.0,10,10.427042492317474,5363.636363636364,18.25
2017,17273,Diesel,Automatic,First,1995.0,190.0,5.0,8,10.44502617801047,1919.2222222222222,20.68
2011,100077,Diesel,Automatic,Second,2953.0,153.86,7.0,14,19.068836368332686,6671.8,11.4
2011,39934,Petrol,Automatic,First,1197.0,80.0,5.0,14,14.777777777777779,2662.266666666667,19.2
2016,46000,Diesel,Manual,First,1248.0,88.5,5.0,9,13.94413407821229,4600.0,24.3
2016,30842,Petrol,Manual,First,1497.0,118.0,5.0,9,12.579831932773109,3084.2,17.0
2005,65000,Petrol,Automatic,Second,1796.0,178.0,5.0,20,10.033519553072626,3095.2380952380954,11.7
2016,70000,Diesel,Manual,First,2400.0,200.0,7.0,9,11.940298507462687,7000.0,11.1
2011,150152,Diesel,Manual,Second,2982.0,171.0,7.0,14,17.337209302325583,10010.133333333333,11.5
2009,67038,Petrol,Automatic,First,2349.0,93.7,5.0,16,14.667842445620222,3943.4117647058824,9.1
2011,43985,CNG,Manual,First,1086.0,62.1,5.0,14,17.210776545166404,2932.3333333333335,11.88
2014,58598,Diesel,Automatic,First,2993.0,241.0,4.0,11,12.367768595041323,4883.166666666667,11.2
2016,100000,Diesel,Manual,First,1396.0,69.01,5.0,9,19.940008570204256,10000.0,25.0
2016,35000,Diesel,Automatic,First,1968.0,174.3,5.0,9,11.226468910439246,3500.0,14.16
2008,84500,Petrol,Manual,First,1197.0,78.9,5.0,17,14.981226533166456,4694.444444444444,20.36
2018,18006,Petrol,Manual,First,1197.0,83.1,5.0,7,14.23305588585018,2250.75,21.4
2013,99000,Diesel,Manual,First,1248.0,74.0,5.0,12,16.64,7615.384615384615,28.4
2014,51200,Petrol,Manual,First,1196.0,73.0,5.0,11,16.16216216216216,4266.666666666667,15.1
2014,130000,Diesel,Automatic,First,2982.0,170.3,7.0,11,17.40805604203152,10833.333333333334,11.0
2017,25000,Diesel,Automatic,First,1995.0,182.46,5.0,8,10.874305025618662,2777.777777777778,16.38
2017,32352,Petrol,Manual,First,1197.0,83.1,5.0,8,14.23305588585018,3594.6666666666665,21.4
2011,20000,Petrol,Manual,First,1197.0,78.9,5.0,14,14.981226533166456,1333.3333333333333,20.36
2013,46000,Diesel,Automatic,Second,1968.0,147.51,5.0,12,13.2516328866743,3538.4615384615386,16.55
2018,12500,Petrol,Automatic,First,1197.0,81.8,5.0,7,14.456521739130435,1562.5,22.0
2011,53138,Diesel,Manual,Third,2494.0,102.0,8.0,14,24.21359223300971,3542.5333333333333,12.8
2013,170000,Diesel,Manual,Second,1248.0,74.0,5.0,12,16.64,13076.923076923076,23.4
2012,38583,Diesel,Manual,First,1248.0,74.0,5.0,13,16.64,2755.9285714285716,22.9
2016,26000,Petrol,Automatic,First,998.0,67.0,5.0,9,14.676470588235293,2600.0,22.5
2017,22865,Petrol,Manual,First,1591.0,121.3,5.0,8,13.008994276369583,2540.5555555555557,15.29
2013,45000,Diesel,Manual,First,1896.0,106.0,5.0,12,17.7196261682243,3461.5384615384614,17.5
2017,62889,Petrol,Manual,First,1197.0,81.8,5.0,8,14.456521739130435,6987.666666666667,20.4
2013,153000,Petrol,Manual,First,796.0,34.2,5.0,12,22.613636363636363,11769.23076923077,16.8
2016,67000,Diesel,Manual,First,1248.0,74.0,5.0,9,16.64,6700.0,28.4
2014,39000,Petrol,Automatic,First,1198.0,86.7,5.0,11,13.660205245153934,3250.0,15.5
2006,164000,Petrol,Manual,Second,1794.0,125.0,5.0,19,14.238095238095237,8200.0,13.4
2018,57178,Diesel,Manual,First,1248.0,73.9,5.0,7,16.66221628838451,7147.25,19.3
2013,40000,Diesel,Automatic,First,1968.0,174.33,5.0,12,11.224547995209033,3076.923076923077,17.68
2007,40000,Petrol,Manual,First,995.0,62.0,5.0,18,15.793650793650794,2105.2631578947367,18.0
2007,89564,Diesel,Manual,Third,1493.0,110.0,5.0,18,13.45045045045045,4713.894736842105,18.1
2012,66727,Petrol,Manual,First,1373.0,93.7,7.0,13,14.498416050686378,4766.214285714285,16.02
2013,75000,Diesel,Automatic,Second,1968.0,174.33,5.0,12,11.224547995209033,5769.2307692307695,15.73
2017,31056,Diesel,Automatic,First,1998.0,163.7,5.0,8,12.131147540983607,3450.6666666666665,14.81
2011,61000,Petrol,Manual,First,1598.0,103.6,5.0,14,15.277246653919695,4066.6666666666665,15.04
2016,34782,Petrol,Automatic,First,1197.0,82.0,5.0,9,14.421686746987952,3478.2,16.9
2012,31736,Petrol,Manual,First,1197.0,78.9,5.0,13,14.981226533166456,2266.8571428571427,20.36
2014,75000,Diesel,Manual,First,1461.0,108.5,5.0,11,13.342465753424657,6250.0,19.64
2014,15000,Diesel,Manual,First,2498.0,105.0,6.0,11,23.566037735849058,1250.0,16.55
2016,38503,Diesel,Manual,First,1498.0,89.84,5.0,9,16.490532804931746,3850.3,22.7
2017,45353,Diesel,Manual,First,1498.0,98.6,7.0,8,15.040160642570282,5039.222222222223,21.9
2015,30000,Diesel,Automatic,First,2179.0,187.7,5.0,10,11.547429782723901,2727.2727272727275,12.7
2011,69470,Petrol,Manual,Second,1496.0,88.73,5.0,14,16.67223893903934,4631.333333333333,17.6
2008,63288,Petrol,Automatic,First,2349.0,93.7,5.0,17,14.667842445620222,3516.0,9.1
2017,25087,Petrol,Manual,First,1198.0,74.0,5.0,8,15.973333333333333,2787.4444444444443,16.47
2015,134000,Diesel,Manual,First,2494.0,102.0,7.0,10,24.21359223300971,12181.818181818182,12.8
2015,54955,Diesel,Automatic,Third,1998.0,163.7,5.0,10,12.131147540983607,4995.909090909091,14.81
2017,28000,Diesel,Manual,First,1582.0,126.2,5.0,8,12.437106918238994,3111.1111111111113,22.0
2015,45250,Diesel,Manual,First,1498.0,98.6,5.0,10,15.040160642570282,4113.636363636364,25.8
2012,89190,Diesel,Automatic,Second,2993.0,245.41,7.0,13,12.146422628951747,6370.714285714285,11.4
2017,48184,Diesel,Manual,First,1498.0,98.6,5.0,8,15.040160642570282,5353.777777777777,26.0
2015,42125,Diesel,Manual,First,1248.0,74.0,5.0,10,16.64,3829.5454545454545,26.59
2017,47052,Petrol,Automatic,First,1198.0,75.94,5.0,8,15.570574473615805,5228.0,19.15
2011,67000,Petrol,Manual,Second,1197.0,78.9,5.0,14,14.981226533166456,4466.666666666667,20.36
2011,43189,Petrol,Manual,First,999.0,93.7,5.0,14,14.667842445620222,2879.266666666667,0.0
2015,174889,Diesel,Manual,First,1248.0,74.0,5.0,10,16.64,15899.0,26.59
2004,72135,Petrol,Manual,First,796.0,46.3,5.0,21,16.82875264270613,3278.8636363636365,19.7
2017,17660,Diesel,Manual,First,1248.0,88.5,5.0,8,13.94413407821229,1962.2222222222222,24.3
2009,120000,Petrol,Automatic,First,2354.0,177.6,5.0,16,13.180291153415453,7058.823529411765,11.7
2010,29629,Petrol,Manual,First,1199.0,76.8,5.0,15,15.411311053984576,1851.8125,18.6
2016,69564,Diesel,Manual,First,1248.0,93.7,5.0,9,14.667842445620222,6956.4,17.8
2017,34848,Diesel,Automatic,First,2143.0,170.0,5.0,8,12.532163742690058,3872.0,17.9
2013,61000,Diesel,Manual,First,2498.0,112.0,8.0,12,22.106194690265486,4692.307692307692,14.0
2015,21000,Petrol,Manual,First,1198.0,67.0,7.0,10,17.61764705882353,1909.090909090909,19.83
2015,27912,Diesel,Automatic,First,2179.0,187.7,5.0,10,11.547429782723901,2537.4545454545455,16.36
2013,62909,Diesel,Manual,First,1248.0,88.8,5.0,12,13.897550111358575,4839.153846153846,21.5
2018,33140,Petrol,Manual,First,998.0,67.04,5.0,7,14.667842445620222,4142.5,23.1
2014,75000,Diesel,Automatic,First,1498.0,103.2,5.0,11,14.37619961612284,6250.0,21.21
2017,25571,Diesel,Manual,First,1498.0,98.59,5.0,8,15.041670850486996,2841.222222222222,22.77
2002,120000,Petrol,Manual,Fourth & Above,999.0,93.7,5.0,23,14.667842445620222,5000.0,0.0
2016,12020,Diesel,Manual,First,1248.0,88.76,7.0,9,13.90374331550802,1202.0,20.77
2014,36665,Petrol,Automatic,First,1198.0,86.8,5.0,11,13.644646924829157,3055.4166666666665,16.5
2018,41502,Diesel,Automatic,First,2477.0,175.56,7.0,7,14.029225192569099,5187.75,13.5
2011,130000,Diesel,Automatic,First,2143.0,203.0,5.0,14,10.504901960784315,8666.666666666666,14.21
2017,51000,Diesel,Manual,First,1248.0,74.0,5.0,8,16.64,5666.666666666667,25.2
2008,103000,Petrol,Manual,Second,1495.0,94.0,5.0,17,15.736842105263158,5722.222222222223,13.2
2012,70000,Diesel,Automatic,First,1968.0,147.51,5.0,13,13.2516328866743,5000.0,16.55
2010,56239,Petrol,Manual,Second,1497.0,118.0,5.0,15,12.579831932773109,3514.9375,17.0
2016,40000,Diesel,Automatic,First,1995.0,190.0,5.0,9,10.44502617801047,4000.0,22.69
2018,19964,Petrol,Automatic,First,999.0,67.0,5.0,7,14.691176470588236,2495.5,22.5
2012,72246,Diesel,Manual,First,2523.0,63.0,7.0,13,39.421875,5160.428571428572,13.6
2018,15000,Diesel,Manual,First,1582.0,126.2,5.0,7,12.437106918238994,1875.0,20.5
2016,14000,Petrol,Manual,Fourth & Above,624.0,37.48,4.0,9,16.216216216216218,1400.0,23.9
2016,22764,Petrol,Manual,First,1199.0,74.0,5.0,9,15.986666666666666,2276.4,16.2
2012,65000,Diesel,Automatic,First,1968.0,167.7,5.0,13,11.66567871962063,4642.857142857143,18.33
2016,45000,Diesel,Manual,First,2999.0,161.0,7.0,9,18.512345679012345,4500.0,12.08
2017,32090,Diesel,Automatic,First,2143.0,204.0,5.0,8,10.453658536585365,3565.5555555555557,13.0
2014,83000,Diesel,Manual,First,2179.0,140.0,7.0,11,15.453900709219859,6916.666666666667,15.1
2011,70000,Diesel,Automatic,First,2143.0,204.0,5.0,14,10.453658536585365,4666.666666666667,13.0
2013,68000,Diesel,Manual,First,2179.0,140.0,7.0,12,15.453900709219859,5230.7692307692305,16.0
2012,105000,Petrol,Manual,First,1498.0,97.7,5.0,13,15.177304964539006,7500.0,16.95
2006,88000,Petrol,Manual,First,1795.0,127.0,5.0,19,14.0234375,4400.0,13.0
2007,93000,Petrol,Automatic,Second,2354.0,142.0,5.0,18,16.46153846153846,4894.736842105263,11.1
2014,107000,Diesel,Manual,First,1498.0,98.6,5.0,11,15.040160642570282,8916.666666666666,26.0
2011,141844,Diesel,Manual,First,2982.0,168.5,7.0,14,17.5929203539823,9456.266666666666,12.55
2015,32469,Petrol,Automatic,First,1198.0,76.0,5.0,10,15.558441558441558,2951.7272727272725,19.34
2015,56318,Diesel,Manual,First,2179.0,140.0,7.0,10,15.453900709219859,5119.818181818182,15.1
2017,26002,Diesel,Automatic,First,1496.0,113.98,4.0,8,13.010958427552618,2889.1111111111113,20.7
2014,83000,Diesel,Manual,First,1248.0,74.0,5.0,11,16.64,6916.666666666667,25.2
2010,80000,Petrol,Manual,Second,1199.0,79.4,5.0,15,14.912935323383083,5000.0,18.6
2016,56474,Petrol,Manual,Second,1197.0,83.1,5.0,9,14.23305588585018,5647.4,21.4
2012,26000,Petrol,Automatic,Second,1595.0,120.69,5.0,13,13.107075355411292,1857.142857142857,14.8
2009,49000,Petrol,Automatic,Second,1984.0,208.0,5.0,16,9.492822966507177,2882.3529411764707,9.74
2010,64132,Diesel,Automatic,Second,1896.0,105.0,5.0,15,17.88679245283019,4008.25,17.0
2016,41810,Diesel,Manual,First,1582.0,126.2,5.0,9,12.437106918238994,4181.0,19.67
2013,60000,Diesel,Automatic,First,2993.0,258.0,5.0,12,11.555984555984557,4615.384615384615,16.46
2016,22177,Diesel,Automatic,First,2987.0,165.0,5.0,9,17.99397590361446,2217.7,0.0
2014,100000,Diesel,Manual,First,1399.0,68.05,5.0,11,20.260680666183926,8333.333333333334,20.0
2012,75000,Diesel,Automatic,First,1968.0,138.1,5.0,13,14.148094895758447,5357.142857142857,20.0
2011,68000,Diesel,Manual,First,1396.0,90.0,5.0,14,15.340659340659341,4533.333333333333,21.9
2016,43518,Diesel,Manual,First,2494.0,100.0,7.0,9,24.693069306930692,4351.8,12.99
2012,39100,Petrol,Automatic,First,998.0,66.1,5.0,13,14.873323397913563,2792.8571428571427,16.98
2011,58000,Petrol,Manual,First,1591.0,121.3,5.0,14,13.008994276369583,3866.6666666666665,17.01
2010,52000,Petrol,Manual,First,1497.0,118.0,5.0,15,12.579831932773109,3250.0,17.0
2014,80000,Diesel,Automatic,First,1995.0,170.0,5.0,11,11.666666666666666,6666.666666666667,13.2
2006,96000,Petrol,Manual,Second,998.0,67.1,5.0,19,14.654919236417035,4800.0,18.2
2010,63000,Petrol,Automatic,First,1798.0,157.75,5.0,15,11.325984251968505,3937.5,13.7
2014,50000,Diesel,Automatic,First,1968.0,174.33,5.0,11,11.224547995209033,4166.666666666667,15.73
2014,15322,Petrol,Manual,First,814.0,55.2,5.0,11,14.483985765124554,1276.8333333333333,21.1
2012,47000,Petrol,Manual,First,1198.0,86.8,5.0,13,13.644646924829157,3357.1428571428573,19.4
2011,76041,Diesel,Manual,First,1598.0,103.6,5.0,14,15.277246653919695,5069.4,20.54
2009,46000,Petrol,Manual,First,1495.0,94.0,5.0,16,15.736842105263158,2705.8823529411766,13.2
2013,160000,Diesel,Manual,Second,2523.0,62.1,7.0,12,39.98415213946117,12307.692307692309,15.96
2015,17000,Diesel,Manual,Second,793.0,47.0,5.0,10,16.520833333333332,1545.4545454545455,27.62
2014,56000,Diesel,Manual,First,1120.0,70.0,5.0,11,15.774647887323944,4666.666666666667,24.0
2005,35000,Petrol,Manual,First,1341.0,61.0,5.0,20,21.629032258064516,1666.6666666666667,15.3
2015,54278,Diesel,Manual,First,2494.0,100.6,7.0,10,24.54724409448819,4934.363636363636,12.99
2015,39000,Diesel,Manual,First,1186.0,73.97,5.0,10,15.819661197812458,3545.4545454545455,25.4
2013,40000,Diesel,Automatic,First,1968.0,174.33,5.0,12,11.224547995209033,3076.923076923077,17.68
2013,41000,Petrol,Automatic,First,1499.0,110.4,5.0,12,13.456014362657092,3153.846153846154,15.63
2011,30342,Petrol,Automatic,First,1998.0,252.0,5.0,14,7.897233201581027,2022.8,15.56
2008,88000,Petrol,Manual,Second,1497.0,78.0,5.0,17,18.949367088607595,4888.888888888889,17.7
2018,9000,Petrol,Manual,First,1197.0,81.8,5.0,7,14.456521739130435,1125.0,21.5
2010,70000,Diesel,Manual,First,1248.0,73.9,5.0,15,16.66221628838451,4375.0,19.3
2011,46279,Petrol,Manual,First,1198.0,73.9,5.0,14,15.994659546061413,3085.266666666667,16.47
2016,105000,Diesel,Manual,Second,1248.0,73.94,5.0,9,16.653322658126502,10500.0,23.2
2011,130000,Diesel,Manual,First,1991.0,123.7,5.0,14,15.966319165998396,8666.666666666666,16.52
2017,30000,Petrol,Manual,First,799.0,53.3,5.0,8,14.714548802946593,3333.3333333333335,25.17
2013,54000,Diesel,Manual,First,1968.0,138.03,5.0,12,14.15521829820902,4153.846153846154,19.33
2010,65000,Diesel,Manual,First,1399.0,68.0,5.0,15,20.27536231884058,4062.5,20.0
2010,70000,Petrol,Manual,First,1298.0,85.8,5.0,15,14.953917050691246,4375.0,17.5
2015,46000,Diesel,Automatic,First,2143.0,204.0,5.0,10,10.453658536585365,4181.818181818182,13.0
2007,113000,Petrol,Manual,First,995.0,62.0,5.0,18,15.793650793650794,5947.368421052632,18.0
2016,67310,Petrol,Manual,First,1197.0,82.0,5.0,9,14.421686746987952,6731.0,18.9
2019,1015,Petrol,Automatic,First,1199.0,88.7,5.0,6,13.366778149386844,145.0,19.0
2011,83035,Petrol,Manual,Second,1497.0,118.0,5.0,14,12.579831932773109,5535.666666666667,17.0
2015,36983,Diesel,Manual,First,2494.0,100.0,7.0,10,24.693069306930692,3362.090909090909,12.99
2010,76000,Diesel,Manual,Third,1991.0,147.9,5.0,15,13.371390194761585,4750.0,18.3
2019,14148,Petrol,Automatic,First,1598.0,103.52,5.0,6,15.288939915805589,2021.142857142857,14.3
2011,71428,Diesel,Manual,First,1248.0,73.9,5.0,14,16.66221628838451,4761.866666666667,21.1
2015,10500,Petrol,Manual,Second,1197.0,85.8,5.0,10,13.790322580645162,954.5454545454545,18.5
2010,58997,Petrol,Automatic,First,1497.0,118.0,5.0,15,12.579831932773109,3687.3125,16.8
2015,39842,Petrol,Manual,First,998.0,67.04,5.0,10,14.667842445620222,3622.0,23.1
2015,47490,CNG,Manual,First,998.0,58.2,4.0,10,16.85810810810811,4317.272727272727,32.26
2009,45000,Petrol,Manual,First,1172.0,65.0,5.0,16,17.757575757575758,2647.0588235294117,15.8
2011,80000,Petrol,Manual,First,1497.0,117.3,5.0,14,12.654268808114962,5333.333333333333,17.4
2012,56600,Diesel,Manual,First,1461.0,93.7,5.0,13,14.667842445620222,4042.8571428571427,23.59
2015,55409,Diesel,Manual,First,1598.0,103.5,5.0,10,15.291866028708133,5037.181818181818,20.5
2009,77000,Petrol,Automatic,First,1586.0,103.3,5.0,16,15.206136145733462,4529.411764705882,12.6
2012,58000,Petrol,Automatic,Second,1461.0,93.7,5.0,13,14.667842445620222,4142.857142857143,15.0
2016,59491,Petrol,Manual,First,796.0,47.3,5.0,9,16.48033126293996,5949.1,22.74
2007,51000,Diesel,Manual,First,2179.0,120.0,7.0,18,18.00826446280992,2684.2105263157896,10.5
2017,18725,Petrol,Manual,First,1197.0,83.1,5.0,8,14.23305588585018,2080.5555555555557,21.4
2009,92000,Petrol,Automatic,First,2497.0,218.0,5.0,16,11.401826484018265,5411.764705882353,11.5
2013,61450,Diesel,Manual,First,1248.0,73.9,5.0,12,16.66221628838451,4726.923076923077,21.1
2016,18592,Petrol,Manual,First,998.0,68.05,5.0,9,14.453294713975382,1859.2,20.3
2013,65137,Diesel,Manual,Second,1248.0,73.74,7.0,12,16.6978860048167,5010.538461538462,18.2
2011,83000,Diesel,Manual,Second,1199.0,73.9,5.0,14,16.008010680907876,5533.333333333333,22.07
2013,37000,Diesel,Automatic,First,1582.0,126.3,5.0,12,12.427336999214454,2846.153846153846,22.32
2017,14052,Petrol,Automatic,First,1497.0,117.3,7.0,8,12.654268808114962,1561.3333333333333,16.0
2011,45086,Petrol,Manual,First,1197.0,78.9,5.0,14,14.981226533166456,3005.733333333333,20.36
2016,25400,Petrol,Manual,Second,998.0,67.04,5.0,9,14.667842445620222,2540.0,20.51
2008,194500,Diesel,Manual,First,2494.0,102.0,8.0,17,24.21359223300971,10805.555555555555,12.8
2014,89000,Diesel,Manual,First,2494.0,102.0,8.0,11,24.21359223300971,7416.666666666667,12.8
